model,top_k,cost_bps,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover
online_best,3,25.0,holdout_2024,12,0.20967583557954717,-0.013699490369203038,0.20967583557954717,-0.013699490369203038,0.2233753259487502,0.31886699385817163,0.7402380115373373,-0.1011317188267361,-0.07702368625268208,0.4166666666666667,0.8134895884033508,1.0126562007811772,0.27441614980294826,0.5555555555555556
online_best,3,25.0,holdout_2025_2026,18,-0.3092702049602889,-0.12280852134116271,-0.218602303470826,-0.08364672551481533,-0.13495557795601065,0.425703637949174,-0.3615300188305549,-0.4575432198817737,-0.34737666250868915,0.3888888888888889,-0.3040585765481027,1.1486130530167442,-0.08494328697551401,0.7407407407407408
online_soft,3,25.0,validation,24,0.09604603734139516,0.08698189041321247,0.046922173488266106,0.04258423660307309,0.004337936885193017,0.5212016568666225,0.32820148060095455,-0.36975212554573833,-0.08239866000360974,0.5416666666666666,0.2384827323228303,0.02100030172066653,0.18402008734181763,0.5833333333333333
online_soft,3,25.0,holdout_2024,12,-0.008921042461278117,-0.013699490369203038,-0.008921042461278117,-0.013699490369203038,0.004778447907924921,0.3282704324310711,0.12381939784398548,-0.21092969457042443,-0.07702368625268208,0.4166666666666667,0.1630960617035921,1.2317410268590734,0.05272558826243978,0.6388888888888888
online_soft,3,25.0,holdout_2025_2026,18,0.32995148439661937,-0.12280852134116271,0.2093644525359788,-0.08364672551481533,0.29301117805079413,0.6590623855937862,0.5836966694594539,-0.35373526729926097,-0.34737666250868915,0.6111111111111112,0.7460405135049712,1.1829467511161937,0.5586240207793174,0.5925925925925926
cap300_composite,3,100.0,validation,24,-0.099431834365029,0.08698189041321247,-0.05101729961238444,0.04258423660307309,-0.09360153621545753,0.6231172511437504,0.21554299685843398,-0.5032638040796333,-0.08239866000360974,0.5,0.14241636794670892,0.2756756763056519,0.12888868300855538,0.5694444444444444
cap300_composite,3,100.0,holdout_2024,12,0.3697006255309412,-0.013699490369203038,0.3697006255309412,-0.013699490369203038,0.3834001159001442,0.36350680556195114,1.0399236166672425,-0.12947785926727307,-0.07702368625268208,0.5833333333333334,1.0885892704876245,0.7712613502586102,0.46048672204664265,0.5555555555555555
cap300_composite,3,100.0,holdout_2025_2026,18,-0.08481590461350008,-0.12280852134116271,-0.057374951681884556,-0.08364672551481533,0.026271773832930778,1.0885053164154548,0.31758263865548225,-0.6169513065140336,-0.34737666250868915,0.3888888888888889,0.3921625196909468,1.5626170062032174,0.5327424511797314,0.5925925925925926
mlp_rank,3,100.0,validation,24,0.12987509636246375,0.08698189041321247,0.06295582992072801,0.04258423660307309,0.020371593317654924,0.37511197530620255,0.3259607039397703,-0.36371928971960155,-0.08239866000360974,0.4583333333333333,0.2009059532484141,0.04976285126656076,0.12685013996816097,0.5138888888888888
mlp_rank,3,100.0,holdout_2024,12,0.16892560778235421,-0.013699490369203038,0.16892560778235421,-0.013699490369203038,0.18262509815155725,0.22971771654461617,0.7882510294620484,-0.11057357742015239,-0.07702368625268208,0.5,0.8020446968346321,0.3484123126268155,0.20050789737321217,0.5833333333333334
mlp_rank,3,100.0,holdout_2025_2026,18,0.20263306054433983,-0.12280852134116271,0.13089450104436406,-0.08364672551481533,0.2145412265591794,0.3231483762821994,0.5278558636221959,-0.2712358369461336,-0.34737666250868915,0.5555555555555556,0.7119520096364642,0.5183640263779059,0.21953370134051853,0.7592592592592592
baseline_mlp_blend_50,3,100.0,validation,24,1.0967871236718536,0.08698189041321247,0.44802870264088823,0.04258423660307309,0.40544446603781514,0.5100658986892286,0.9657993659218972,-0.35282226101945846,-0.08239866000360974,0.5833333333333334,0.8844599096465476,0.797186520525003,0.5653613869639291,0.5277777777777778
baseline_mlp_blend_50,3,100.0,holdout_2024,12,0.05191028070456061,-0.013699490369203038,0.05191028070456061,-0.013699490369203038,0.06560977107376365,0.29183114854031444,0.30573194023797573,-0.15838941007616947,-0.07702368625268208,0.4166666666666667,0.3652132031683263,1.1066144909333644,0.10358161509503927,0.5
baseline_mlp_blend_50,3,100.0,holdout_2025_2026,18,0.5077867750409113,-0.12280852134116271,0.3149016989052458,-0.08364672551481533,0.3985484244200611,0.6640170815423724,0.7116007607312427,-0.27958120926730623,-0.34737666250868915,0.5555555555555556,0.8804544888516632,1.1453237947558146,0.6922992601828459,0.5925925925925926
online_best,3,100.0,validation,24,0.04415122797888693,0.08698189041321247,0.021837182714979697,0.04258423660307309,-0.020747053888093392,0.5291900373970612,0.29839704231534026,-0.4260110539641223,-0.08239866000360974,0.5,0.21292347170254208,0.48882655661419205,0.14459539067600957,0.5416666666666666
online_best,3,100.0,holdout_2024,12,0.15251886362694123,-0.013699490369203038,0.15251886362694123,-0.013699490369203038,0.16621835399614426,0.3145120127666944,0.5915114905848262,-0.11057357742015239,-0.07702368625268208,0.4166666666666667,0.6579685782763355,1.0190312672006296,0.21342059050548534,0.5555555555555556
online_best,3,100.0,holdout_2025_2026,18,-0.3776276549538774,-0.12280852134116271,-0.27104588638974336,-0.08364672551481533,-0.18739916087492803,0.4271784590103764,-0.5163446476717346,-0.47858556116561657,-0.34737666250868915,0.3888888888888889,-0.5092187731274807,1.1457906492194838,-0.14468247631691789,0.7407407407407408
online_soft,3,100.0,validation,24,-0.01393673679568841,0.08698189041321247,-0.006992818150688529,0.04258423660307309,-0.04957705475376162,0.5217947763669202,0.22721414787013253,-0.4032443483014948,-0.08239866000360974,0.4583333333333333,0.13881534187852407,0.011284028800465423,0.12465042397199366,0.5833333333333333
online_soft,3,100.0,holdout_2024,12,-0.06550553301574591,-0.013699490369203038,-0.06550553301574591,-0.013699490369203038,-0.05180604264654287,0.3308306182138366,-0.05094375126883326,-0.22419791279851498,-0.07702368625268208,0.4166666666666667,-0.02638927799849712,1.260252544919823,-0.0057410065929630605,0.6388888888888888
online_soft,3,100.0,holdout_2025_2026,18,0.22807120681936754,-0.12280852134116271,0.14678595676498296,-0.08364672551481533,0.2304326822797983,0.6585389757322592,0.5031732339537061,-0.3662280141714387,-0.34737666250868915,0.6111111111111112,0.6560143691933032,1.1778338828759136,0.47995854723551057,0.5925925925925926
cap300_composite,5,25.0,validation,24,-0.13561630160805627,0.08698189041321247,-0.07027762294761142,0.04258423660307309,-0.1128618595506845,0.4367758992250513,0.05097756519483115,-0.3960103047667114,-0.08239866000360974,0.4583333333333333,-0.051607521418662455,0.032378471294539586,0.021001767740682187,0.5583333333333335
cap300_composite,5,25.0,holdout_2024,12,0.3710502796657411,-0.013699490369203038,0.3710502796657411,-0.013699490369203038,0.38474977003494415,0.307814478261548,1.1634695379583853,-0.11162496091652674,-0.07702368625268208,0.5,1.244093763415656,0.8586767022603546,0.43366291015390446,0.5000000000000001
cap300_composite,5,25.0,holdout_2025_2026,18,0.005925180273665065,-0.12280852134116271,0.003946229557296732,-0.08364672551481533,0.08759295507211207,0.8241743920279706,0.33500880018057827,-0.6098830299460005,-0.34737666250868915,0.5,0.4581803506760843,1.7276364345177493,0.44605891132026465,0.588888888888889
mlp_rank,5,25.0,validation,24,0.27816909535857204,0.08698189041321247,0.13056140715954578,0.04258423660307309,0.0879771705564727,0.2625114431930722,0.5910593775871104,-0.2045656302927038,-0.08239866000360974,0.5,0.3987147723980191,0.001782653285643369,0.16659092901771633,0.5166666666666667
mlp_rank,5,25.0,holdout_2024,12,0.19072082293647963,-0.013699490369203038,0.19072082293647963,-0.013699490369203038,0.20442031330568267,0.16463309904050696,1.1437795374355888,-0.07461352854969128,-0.07702368625268208,0.5833333333333334,1.3225015285299113,0.7261036498917672,0.21304694730356966,0.5666666666666668
mlp_rank,5,25.0,holdout_2025_2026,18,-0.02966976562272916,-0.12280852134116271,-0.019878966862155956,-0.08364672551481533,0.06376775865265938,0.27211710659819366,0.05174778029629893,-0.27750378323429115,-0.34737666250868915,0.5555555555555556,0.3094810118815686,0.6735246084109195,0.05374795867200244,0.6777777777777778
