ticker,observations,last_observation,train_end
EMDE,1752,2021-12-30,2021-12-31
EMTK,1753,2021-12-30,2021-12-31
ENRG,1753,2021-12-30,2021-12-31
ENZO,319,2021-12-30,2021-12-31
EPAC,368,2021-12-30,2021-12-31
EPMT,1752,2021-12-30,2021-12-31
ERAA,1753,2021-12-30,2021-12-31
ERTX,1753,2021-12-30,2021-12-31
ESIP,520,2021-12-30,2021-12-31
ESSA,1752,2021-12-30,2021-12-31
ESTA,442,2021-12-30,2021-12-31
ESTI,1753,2021-12-30,2021-12-31
ETWA,1752,2021-12-30,2021-12-31
EXCL,1753,2021-12-30,2021-12-31
FAST,1753,2021-12-30,2021-12-31
FASW,1752,2021-12-30,2021-12-31
FILM,851,2021-12-30,2021-12-31
FIRE,1152,2021-12-30,2021-12-31
FISH,1753,2021-12-30,2021-12-31
FITT,631,2021-12-30,2021-12-31
FMII,1753,2021-12-30,2021-12-31
FOOD,741,2021-12-30,2021-12-31
FORU,1752,2021-12-30,2021-12-31
FPNI,1752,2021-12-30,2021-12-31
FUJI,612,2021-12-30,2021-12-31
GDST,1752,2021-12-30,2021-12-31
GDYR,1752,2021-12-30,2021-12-31
GEMA,1753,2021-12-30,2021-12-31
GEMS,1753,2021-12-30,2021-12-31
GGRM,1752,2021-12-30,2021-12-31
GGRP,560,2021-12-30,2021-12-31
GHON,937,2021-12-30,2021-12-31
GIAA,1753,2021-12-30,2021-12-31
GJTL,1752,2021-12-30,2021-12-31
GLOB,1753,2021-12-30,2021-12-31
GLVA,493,2021-12-30,2021-12-31
GMFI,1066,2021-12-30,2021-12-31
GMTD,1753,2021-12-30,2021-12-31
GOLD,1753,2021-12-30,2021-12-31
GOOD,806,2021-12-30,2021-12-31
GPRA,1752,2021-12-30,2021-12-31
GSMF,1753,2021-12-30,2021-12-31
GTBO,1753,2021-12-30,2021-12-31
GWSA,1752,2021-12-30,2021-12-31
GZCO,1752,2021-12-30,2021-12-31
HADE,1753,2021-12-30,2021-12-31
HDFA,1753,2021-12-30,2021-12-31
HDIT,609,2021-12-30,2021-12-31
HEAL,910,2021-12-30,2021-12-31
HELI,945,2021-12-30,2021-12-31
HERO,1752,2021-12-30,2021-12-31
HEXA,1752,2021-12-30,2021-12-31
HITS,1753,2021-12-30,2021-12-31
HMSP,1753,2021-12-30,2021-12-31
HOKI,1138,2021-12-30,2021-12-31
HOMI,321,2021-12-30,2021-12-31
HRME,673,2021-12-30,2021-12-31
HRTA,1144,2021-12-30,2021-12-31
HRUM,1753,2021-12-30,2021-12-31
IATA,1753,2021-12-30,2021-12-31
IBFN,1744,2021-12-30,2021-12-31
IBST,1753,2021-12-30,2021-12-31
ICBP,1752,2021-12-30,2021-12-31
ICON,1752,2021-12-30,2021-12-31
IDPR,1512,2021-12-30,2021-12-31
IFII,502,2021-12-30,2021-12-31
IFSH,505,2021-12-30,2021-12-31
IGAR,1752,2021-12-30,2021-12-31
IKAI,1752,2021-12-30,2021-12-31
IKAN,460,2021-12-30,2021-12-31
IKBI,1753,2021-12-30,2021-12-31
IMAS,1753,2021-12-30,2021-12-31
IMJS,1745,2021-12-30,2021-12-31
IMPC,1745,2021-12-30,2021-12-31
INAF,1752,2021-12-30,2021-12-31
INAI,1752,2021-12-30,2021-12-31
INCF,1753,2021-12-30,2021-12-31
INCI,1753,2021-12-30,2021-12-31
INCO,1752,2021-12-30,2021-12-31
INDF,1753,2021-12-30,2021-12-31
INDO,482,2021-12-30,2021-12-31
INDR,1753,2021-12-30,2021-12-31
INDS,1753,2021-12-30,2021-12-31
INDX,1753,2021-12-30,2021-12-31
INDY,1753,2021-12-30,2021-12-31
INKP,1752,2021-12-30,2021-12-31
INOV,611,2021-12-30,2021-12-31
INPC,1752,2021-12-30,2021-12-31
INPP,1753,2021-12-30,2021-12-31
INPS,938,2021-12-30,2021-12-31
INRU,1753,2021-12-30,2021-12-31
INTA,1752,2021-12-30,2021-12-31
INTD,1753,2021-12-30,2021-12-31
INTP,1752,2021-12-30,2021-12-31
IPCC,872,2021-12-30,2021-12-31
IPCM,1013,2021-12-30,2021-12-31
IPOL,1753,2021-12-30,2021-12-31
IPTV,613,2021-12-30,2021-12-31
IRRA,542,2021-12-30,2021-12-31
ISAT,1753,2021-12-30,2021-12-31
ISSP,1751,2021-12-30,2021-12-31
ITIC,615,2021-12-30,2021-12-31
ITMA,1753,2021-12-30,2021-12-31
ITMG,1753,2021-12-30,2021-12-31
JAST,650,2021-12-30,2021-12-31
JAWA,1752,2021-12-30,2021-12-31
JAYA,710,2021-12-30,2021-12-31
JECC,1753,2021-12-30,2021-12-31
JGLE,1383,2021-12-30,2021-12-31
JIHD,1753,2021-12-30,2021-12-31
JKON,1753,2021-12-30,2021-12-31
JMAS,1017,2021-12-30,2021-12-31
JPFA,1753,2021-12-30,2021-12-31
JRPT,1753,2021-12-30,2021-12-31
JSMR,1752,2021-12-30,2021-12-31
JSPT,1753,2021-12-30,2021-12-31
JTPE,1753,2021-12-30,2021-12-31
KAEF,1752,2021-12-30,2021-12-31
KARW,1753,2021-12-30,2021-12-31
KAYU,615,2021-12-30,2021-12-31
KBAG,421,2021-12-30,2021-12-31
KBLI,1753,2021-12-30,2021-12-31
KBLM,1752,2021-12-30,2021-12-31
KBLV,1752,2021-12-30,2021-12-31
KDSI,1753,2021-12-30,2021-12-31
KEEN,573,2021-12-30,2021-12-31
KEJU,513,2021-12-30,2021-12-31
KIAS,1753,2021-12-30,2021-12-31
KICI,1753,2021-12-30,2021-12-31
KIJA,1753,2021-12-30,2021-12-31
KINO,1511,2021-12-30,2021-12-31
KIOS,1070,2021-12-30,2021-12-31
KJEN,618,2021-12-30,2021-12-31
KKGI,1753,2021-12-30,2021-12-31
KLBF,1753,2021-12-30,2021-12-31
KMDS,324,2021-12-30,2021-12-31
KMTR,1146,2021-12-30,2021-12-31
KOBX,1751,2021-12-30,2021-12-31
KOIN,1752,2021-12-30,2021-12-31
KONI,1753,2021-12-30,2021-12-31
KOPI,1744,2021-12-30,2021-12-31
KOTA,612,2021-12-30,2021-12-31
KPIG,1752,2021-12-30,2021-12-31
KRAS,1752,2021-12-30,2021-12-31
KREN,1753,2021-12-30,2021-12-31
LAND,839,2021-12-30,2021-12-31
LAPD,1752,2021-12-30,2021-12-31
LCKM,996,2021-12-30,2021-12-31
LEAD,1744,2021-12-30,2021-12-31
LIFE,612,2021-12-30,2021-12-31
LINK,1744,2021-12-30,2021-12-31
LION,1753,2021-12-30,2021-12-31
LMPI,1753,2021-12-30,2021-12-31
LMSH,1753,2021-12-30,2021-12-31
LPCK,1753,2021-12-30,2021-12-31
LPGI,1753,2021-12-30,2021-12-31
LPIN,1752,2021-12-30,2021-12-31
LPKR,1753,2021-12-30,2021-12-31
LPLI,1753,2021-12-30,2021-12-31
LPPF,1752,2021-12-30,2021-12-31
LPPS,1753,2021-12-30,2021-12-31
LRNA,1744,2021-12-30,2021-12-31
LSIP,1752,2021-12-30,2021-12-31
LTLS,1753,2021-12-30,2021-12-31
LUCK,770,2021-12-30,2021-12-31
MAIN,1753,2021-12-30,2021-12-31
MAPA,875,2021-12-30,2021-12-31
MAPB,1144,2021-12-30,2021-12-31
MAPI,1752,2021-12-30,2021-12-31
MARI,1472,2021-12-30,2021-12-31
MARK,1129,2021-12-30,2021-12-31
MAYA,1753,2021-12-30,2021-12-31
MBAP,1744,2021-12-30,2021-12-31
MBSS,1752,2021-12-30,2021-12-31
MBTO,1752,2021-12-30,2021-12-31
MCAS,1050,2021-12-30,2021-12-31
MCOR,1753,2021-12-30,2021-12-31
MDIA,1744,2021-12-30,2021-12-31
MDKA,1630,2021-12-30,2021-12-31
MDKI,1077,2021-12-30,2021-12-31
MDLN,1752,2021-12-30,2021-12-31
MDRN,1753,2021-12-30,2021-12-31
MEDC,1753,2021-12-30,2021-12-31
MEGA,1753,2021-12-30,2021-12-31
MERK,1753,2021-12-30,2021-12-31
META,1752,2021-12-30,2021-12-31
MFMI,1752,2021-12-30,2021-12-31
MGNA,1746,2021-12-30,2021-12-31
MGRO,869,2021-12-30,2021-12-31
MICE,1752,2021-12-30,2021-12-31
MIDI,1753,2021-12-30,2021-12-31
MIKA,1688,2021-12-30,2021-12-31
MINA,1179,2021-12-30,2021-12-31
MIRA,1752,2021-12-30,2021-12-31
MITI,1753,2021-12-30,2021-12-31
MKNT,1545,2021-12-30,2021-12-31
MKPI,1753,2021-12-30,2021-12-31
MLBI,1753,2021-12-30,2021-12-31
MLIA,1753,2021-12-30,2021-12-31
MLPL,1753,2021-12-30,2021-12-31
MLPT,1745,2021-12-30,2021-12-31
MMLP,1634,2021-12-30,2021-12-31
MNCN,1752,2021-12-30,2021-12-31
MOLI,834,2021-12-30,2021-12-31
MPMX,1751,2021-12-30,2021-12-31
MPOW,1134,2021-12-30,2021-12-31
MPPA,1753,2021-12-30,2021-12-31
MPRO,805,2021-12-30,2021-12-31
MRAT,1753,2021-12-30,2021-12-31
MREI,1753,2021-12-30,2021-12-31
MSIN,893,2021-12-30,2021-12-31
MSKY,1752,2021-12-30,2021-12-31
MTDL,1753,2021-12-30,2021-12-31
MTFN,1753,2021-12-30,2021-12-31
MTLA,1752,2021-12-30,2021-12-31
MTPS,675,2021-12-30,2021-12-31
MTSM,1753,2021-12-30,2021-12-31
MTWI,1066,2021-12-30,2021-12-31
MYOH,1752,2021-12-30,2021-12-31
MYOR,1753,2021-12-30,2021-12-31
MYTX,1753,2021-12-30,2021-12-31
NASA,1113,2021-12-30,2021-12-31
NATO,733,2021-12-30,2021-12-31
NELY,1752,2021-12-30,2021-12-31
NFCX,869,2021-12-30,2021-12-31
NICK,919,2021-12-30,2021-12-31
NIKL,1752,2021-12-30,2021-12-31
NIRO,1752,2021-12-30,2021-12-31
NISP,1753,2021-12-30,2021-12-31
NOBU,1752,2021-12-30,2021-12-31
NRCA,1751,2021-12-30,2021-12-31
NZIA,556,2021-12-30,2021-12-31
OASA,1377,2021-12-30,2021-12-31
OKAS,1752,2021-12-30,2021-12-31
OMRE,1753,2021-12-30,2021-12-31
OPMS,558,2021-12-30,2021-12-31
PADI,1752,2021-12-30,2021-12-31
PALM,1753,2021-12-30,2021-12-31
PAMG,614,2021-12-30,2021-12-31
PANI,822,2021-12-30,2021-12-31
PANR,1753,2021-12-30,2021-12-31
PANS,1752,2021-12-30,2021-12-31
PBID,1021,2021-12-30,2021-12-31
PBRX,1753,2021-12-30,2021-12-31
PBSA,1327,2021-12-30,2021-12-31
PCAR,1008,2021-12-30,2021-12-31
PDES,1753,2021-12-30,2021-12-31
PEGE,1752,2021-12-30,2021-12-31
PEHA,750,2021-12-30,2021-12-31
PGAS,1752,2021-12-30,2021-12-31
PGJO,477,2021-12-30,2021-12-31
PGLI,1752,2021-12-30,2021-12-31
PGUN,364,2021-12-30,2021-12-31
PICO,1753,2021-12-30,2021-12-31
PJAA,1753,2021-12-30,2021-12-31
PKPK,1753,2021-12-30,2021-12-31
PLAN,318,2021-12-30,2021-12-31
PLIN,1753,2021-12-30,2021-12-31
PMJS,496,2021-12-30,2021-12-31
PNBN,1753,2021-12-30,2021-12-31
PNBS,1752,2021-12-30,2021-12-31
PNGO,329,2021-12-30,2021-12-31
PNIN,1752,2021-12-30,2021-12-31
PNLF,1753,2021-12-30,2021-12-31
PNSE,1753,2021-12-30,2021-12-31
POLA,778,2021-12-30,2021-12-31
POLI,739,2021-12-30,2021-12-31
POLL,870,2021-12-30,2021-12-31
POLU,621,2021-12-30,2021-12-31
POLY,1753,2021-12-30,2021-12-31
PORT,1208,2021-12-30,2021-12-31
POWR,1395,2021-12-30,2021-12-31
PPGL,355,2021-12-30,2021-12-31
PPRE,1034,2021-12-30,2021-12-31
PPRO,1658,2021-12-30,2021-12-31
PRDA,1274,2021-12-30,2021-12-31
PRIM,909,2021-12-30,2021-12-31
PSAB,1752,2021-12-30,2021-12-31
PSDN,1753,2021-12-30,2021-12-31
PSGO,513,2021-12-30,2021-12-31
PSKT,1753,2021-12-30,2021-12-31
PSSI,1026,2021-12-30,2021-12-31
PTBA,1752,2021-12-30,2021-12-31
PTIS,1753,2021-12-30,2021-12-31
PTPP,1752,2021-12-30,2021-12-31
PTPW,463,2021-12-30,2021-12-31
PTRO,1753,2021-12-30,2021-12-31
PTSN,1753,2021-12-30,2021-12-31
PTSP,1753,2021-12-30,2021-12-31
PUDP,1753,2021-12-30,2021-12-31
PURA,470,2021-12-30,2021-12-31
PURI,323,2021-12-30,2021-12-31
PWON,1752,2021-12-30,2021-12-31
PYFA,1752,2021-12-30,2021-12-31
PZZA,905,2021-12-30,2021-12-31
RAJA,1753,2021-12-30,2021-12-31
RALS,1753,2021-12-30,2021-12-31
RANC,1752,2021-12-30,2021-12-31
RBMS,1752,2021-12-30,2021-12-31
RDTX,1753,2021-12-30,2021-12-31
REAL,504,2021-12-30,2021-12-31
RELI,1753,2021-12-30,2021-12-31
RICY,1752,2021-12-30,2021-12-31
RIGS,1752,2021-12-30,2021-12-31
RISE,873,2021-12-30,2021-12-31
ROCK,321,2021-12-30,2021-12-31
RODA,1752,2021-12-30,2021-12-31
RONY,420,2021-12-30,2021-12-31
ROTI,1752,2021-12-30,2021-12-31
RUIS,1753,2021-12-30,2021-12-31
SAFE,1753,2021-12-30,2021-12-31
SAME,1753,2021-12-30,2021-12-31
SAMF,427,2021-12-30,2021-12-31
SAPX,811,2021-12-30,2021-12-31
SATU,788,2021-12-30,2021-12-31
SBAT,421,2021-12-30,2021-12-31
SCCO,1753,2021-12-30,2021-12-31
SCMA,1753,2021-12-30,2021-12-31
SCNP,324,2021-12-30,2021-12-31
SDMU,1753,2021-12-30,2021-12-31
SDPC,1752,2021-12-30,2021-12-31
SDRA,1753,2021-12-30,2021-12-31
SFAN,625,2021-12-30,2021-12-31
SGER,341,2021-12-30,2021-12-31
SGRO,1752,2021-12-30,2021-12-31
SHID,1753,2021-12-30,2021-12-31
SHIP,1393,2021-12-30,2021-12-31
SIDO,1745,2021-12-30,2021-12-31
SILO,1745,2021-12-30,2021-12-31
SIMP,1752,2021-12-30,2021-12-31
SINI,524,2021-12-30,2021-12-31
SIPD,1753,2021-12-30,2021-12-31
SKBM,1752,2021-12-30,2021-12-31
SKLT,1753,2021-12-30,2021-12-31
SKRN,805,2021-12-30,2021-12-31
SLIS,548,2021-12-30,2021-12-31
SMAR,1753,2021-12-30,2021-12-31
SMBR,1744,2021-12-30,2021-12-31
SMCB,1753,2021-12-30,2021-12-31
SMDM,1753,2021-12-30,2021-12-31
SMDR,1753,2021-12-30,2021-12-31
SMGR,1753,2021-12-30,2021-12-31
SMKL,610,2021-12-30,2021-12-31
SMMA,1753,2021-12-30,2021-12-31
SMMT,1753,2021-12-30,2021-12-31
SMRA,1753,2021-12-30,2021-12-31
SMSM,1753,2021-12-30,2021-12-31
SOCI,1744,2021-12-30,2021-12-31
SOFA,364,2021-12-30,2021-12-31
SOHO,323,2021-12-30,2021-12-31
SONA,1753,2021-12-30,2021-12-31
SOSS,786,2021-12-30,2021-12-31
SOTS,761,2021-12-30,2021-12-31
SPMA,1753,2021-12-30,2021-12-31
SPTO,912,2021-12-30,2021-12-31
SQMI,1752,2021-12-30,2021-12-31
SRAJ,1753,2021-12-30,2021-12-31
SRSN,1753,2021-12-30,2021-12-31
SRTG,1752,2021-12-30,2021-12-31
SSIA,1752,2021-12-30,2021-12-31
SSMS,1744,2021-12-30,2021-12-31
SSTM,1753,2021-12-30,2021-12-31
STAR,1753,2021-12-30,2021-12-31
STTP,1753,2021-12-30,2021-12-31
SULI,1752,2021-12-30,2021-12-31
SUPR,1753,2021-12-30,2021-12-31
SURE,809,2021-12-30,2021-12-31
SWAT,885,2021-12-30,2021-12-31
TALF,1744,2021-12-30,2021-12-31
TAMA,462,2021-12-30,2021-12-31
TAMU,1174,2021-12-30,2021-12-31
TARA,1753,2021-12-30,2021-12-31
TAXI,1752,2021-12-30,2021-12-31
TBIG,1753,2021-12-30,2021-12-31
TBLA,1753,2021-12-30,2021-12-31
TBMS,1753,2021-12-30,2021-12-31
TCID,1753,2021-12-30,2021-12-31
TCPI,873,2021-12-30,2021-12-31
TEBE,518,2021-12-30,2021-12-31
TELE,1752,2021-12-30,2021-12-31
TFAS,562,2021-12-30,2021-12-31
TFCO,1753,2021-12-30,2021-12-31
TGKA,1753,2021-12-30,2021-12-31
TGRA,1171,2021-12-30,2021-12-31
TIFA,1753,2021-12-30,2021-12-31
TINS,1752,2021-12-30,2021-12-31
TIRA,1753,2021-12-30,2021-12-31
TIRT,1752,2021-12-30,2021-12-31
TKIM,1752,2021-12-30,2021-12-31
TLKM,1752,2021-12-30,2021-12-31
TMAS,1753,2021-12-30,2021-12-31
TMPO,1752,2021-12-30,2021-12-31
TNCA,880,2021-12-30,2021-12-31
TOBA,1752,2021-12-30,2021-12-31
TOPS,1147,2021-12-30,2021-12-31
TOTL,1752,2021-12-30,2021-12-31
TOTO,1753,2021-12-30,2021-12-31
TOWR,1752,2021-12-30,2021-12-31
TOYS,343,2021-12-30,2021-12-31
TPIA,1753,2021-12-30,2021-12-31
TPMA,1752,2021-12-30,2021-12-31
TRIM,1752,2021-12-30,2021-12-31
TRIN,480,2021-12-30,2021-12-31
TRIS,1753,2021-12-30,2021-12-31
TRJA,331,2021-12-30,2021-12-31
TRST,1753,2021-12-30,2021-12-31
TRUK,904,2021-12-30,2021-12-31
TRUS,1753,2021-12-30,2021-12-31
TSPC,1753,2021-12-30,2021-12-31
TUGU,903,2021-12-30,2021-12-31
UANG,365,2021-12-30,2021-12-31
UCID,494,2021-12-30,2021-12-31
ULTJ,1752,2021-12-30,2021-12-31
UNIC,1753,2021-12-30,2021-12-31
UNSP,1753,2021-12-30,2021-12-31
UNTR,1752,2021-12-30,2021-12-31
UNVR,1753,2021-12-30,2021-12-31
URBN,762,2021-12-30,2021-12-31
