model,period,months,strategy_total_return,benchmark_total_return,strategy_cagr,benchmark_cagr,excess_cagr,strategy_volatility,strategy_sharpe_rf0,strategy_max_drawdown,benchmark_max_drawdown,active_hit_rate,information_ratio,beta_to_benchmark,annualized_alpha_rf0,average_monthly_turnover,rank_ic_months,rank_ic_mean_rank_ic,rank_ic_positive_rank_ic_fraction
foundation_ensemble_volmanaged,holdout,30,0.05328763489326338,-0.1348255975549968,0.02098366635163229,-0.05628368183725396,0.07726734818888625,0.17247798797481542,0.20360676008081696,-0.21716113116877378,-0.34737666250868904,0.5333333333333333,0.4032198369091758,0.4641162719266553,0.05391125166394817,0.594770441824172,126,0.03868710614748815,0.5952380952380952
composite_chronos_blend_25,full,126,32.5975691984053,0.35127809531749876,0.3975348707980575,0.02908649695586174,0.36844837384219575,0.40533363213207024,1.0217133030601229,-0.3615034775777841,-0.34737666250868904,0.5952380952380952,1.0483097113856727,1.3619725053303078,0.4260491536555713,0.37566137566137564,126,0.007486114383567716,0.5714285714285714
composite_chronos_blend_25,train,72,14.995019981704289,0.43687426506265803,0.5873186945546884,0.06227377784279686,0.5250449167118916,0.4401846936973927,1.2633248428743271,-0.3615034775777841,-0.3128695392750561,0.5833333333333334,1.2239771330727516,1.4772806825557592,0.5596209527911218,0.3611111111111111,126,0.007486114383567716,0.5714285714285714
composite_chronos_blend_25,validation,24,0.5071249056466614,0.08698189041321247,0.22765015604880756,0.04258423660307309,0.18506591944573447,0.32031607858492844,0.7996758600445184,-0.20508735811944157,-0.08239866000360974,0.625,0.7091545190138018,1.4841564669781893,0.2063411289509891,0.3611111111111111,126,0.007486114383567716,0.5714285714285714
composite_chronos_blend_25,holdout,30,0.39371451605360863,-0.1348255975549968,0.14200900743897615,-0.05628368183725396,0.19829268927623012,0.3775717854464776,0.5292126343395174,-0.3557999745897692,-0.34737666250868904,0.6,0.8018941518784803,1.1828639653456652,0.27376242199926004,0.42222222222222217,126,0.007486114383567716,0.5714285714285714
composite_chronos_blend_50,full,126,40.359506528694396,0.35127809531749876,0.4254748422667034,0.02908649695586174,0.39638834531084166,0.3912569721143778,1.099216597062778,-0.5122239399163034,-0.34737666250868904,0.6190476190476191,1.1595084921286003,1.433130805276434,0.44432558181968185,0.4391534391534392,126,0.02041924448495463,0.5634920634920635
composite_chronos_blend_50,train,72,20.2891761098492,0.43687426506265803,0.6647913439270337,0.06227377784279686,0.6025175660842368,0.40017072028153333,1.4768362091698053,-0.21578165519215964,-0.3128695392750561,0.6527777777777778,1.4636125931929997,1.4067208273151932,0.6205390389036933,0.412037037037037,126,0.02041924448495463,0.5634920634920635
composite_chronos_blend_50,validation,24,0.9004553275015958,0.08698189041321247,0.3785700299591588,0.04258423660307309,0.3359857933560857,0.3482127391680719,1.0964928514778778,-0.1838723064910458,-0.08239866000360974,0.5416666666666666,1.017063635521552,1.316660752254819,0.3744423441192415,0.4444444444444444,126,0.02041924448495463,0.5634920634920635
composite_chronos_blend_50,holdout,30,0.02225402310050617,-0.1348255975549968,0.008842875564127217,-0.05628368183725396,0.06512655740138118,0.3945631849378052,0.209096484722202,-0.5122239399163034,-0.34737666250868904,0.6,0.42071502606612177,1.422164447823969,0.14496800370874352,0.5,126,0.02041924448495463,0.5634920634920635
composite_chronos_blend_75,full,126,53.31583554654439,0.35127809531749876,0.4629554187104292,0.02908649695586174,0.4338689217545675,0.41760351337241575,1.1210699537204214,-0.5737117998754888,-0.34737666250868904,0.6031746031746031,1.200161124192614,1.6026342736093615,0.4888924336459788,0.5026455026455026,126,0.03685678534259075,0.5634920634920635
composite_chronos_blend_75,train,72,22.636293817111262,0.43687426506265803,0.6940643243612339,0.06227377784279686,0.631790546518437,0.4345301122213871,1.432654079560512,-0.28727132379985687,-0.3128695392750561,0.5972222222222222,1.436110843020506,1.6064680246680878,0.648108823430142,0.4629629629629629,126,0.03685678534259075,0.5634920634920635
composite_chronos_blend_75,validation,24,1.2235762000857613,0.08698189041321247,0.49116605382692424,0.04258423660307309,0.44858181722385115,0.3548782879792878,1.3081077744078211,-0.16998524939273962,-0.08239866000360974,0.625,1.256419658310688,1.5258628353854076,0.4753289284062374,0.5138888888888888,126,0.03685678534259075,0.5634920634920635
composite_chronos_blend_75,holdout,30,0.03346332167361066,-0.1348255975549968,0.013253300672823931,-0.05628368183725396,0.0695369825100779,0.41589938138703225,0.24244591681729677,-0.573711799875489,-0.34737666250868904,0.6,0.46575106978604774,1.5523702929717493,0.17156028312448557,0.5888888888888888,126,0.03685678534259075,0.5634920634920635
