ticker,observations,last_observation
LPPS,1753,2021-12-30
LRNA,1744,2021-12-30
LSIP,1752,2021-12-30
LTLS,1753,2021-12-30
LUCK,770,2021-12-30
MAIN,1753,2021-12-30
MAPA,875,2021-12-30
MAPB,1144,2021-12-30
MAPI,1752,2021-12-30
MARI,1472,2021-12-30
MARK,1129,2021-12-30
MAYA,1753,2021-12-30
MBAP,1744,2021-12-30
MBSS,1752,2021-12-30
MBTO,1752,2021-12-30
MCAS,1050,2021-12-30
MCOR,1753,2021-12-30
MDIA,1744,2021-12-30
MDKA,1630,2021-12-30
MDKI,1077,2021-12-30
MDLN,1752,2021-12-30
MDRN,1753,2021-12-30
MEDC,1753,2021-12-30
MEGA,1753,2021-12-30
MERK,1753,2021-12-30
META,1752,2021-12-30
MFMI,1752,2021-12-30
MGNA,1746,2021-12-30
MGRO,869,2021-12-30
MICE,1752,2021-12-30
MIDI,1753,2021-12-30
MIKA,1688,2021-12-30
MINA,1179,2021-12-30
MIRA,1752,2021-12-30
MITI,1753,2021-12-30
MKNT,1545,2021-12-30
MKPI,1753,2021-12-30
MLBI,1753,2021-12-30
MLIA,1753,2021-12-30
MLPL,1753,2021-12-30
MLPT,1745,2021-12-30
MMLP,1634,2021-12-30
MNCN,1752,2021-12-30
MOLI,834,2021-12-30
MPMX,1751,2021-12-30
MPOW,1134,2021-12-30
MPPA,1753,2021-12-30
MPRO,805,2021-12-30
MRAT,1753,2021-12-30
MREI,1753,2021-12-30
MSIN,893,2021-12-30
MSKY,1752,2021-12-30
MTDL,1753,2021-12-30
MTFN,1753,2021-12-30
MTLA,1752,2021-12-30
MTPS,675,2021-12-30
MTSM,1753,2021-12-30
MTWI,1066,2021-12-30
MYOH,1752,2021-12-30
MYOR,1753,2021-12-30
MYTX,1753,2021-12-30
NASA,1113,2021-12-30
NATO,733,2021-12-30
NELY,1752,2021-12-30
NFCX,869,2021-12-30
NICK,919,2021-12-30
NIKL,1752,2021-12-30
NIRO,1752,2021-12-30
NISP,1753,2021-12-30
NOBU,1752,2021-12-30
NRCA,1751,2021-12-30
NZIA,556,2021-12-30
OASA,1377,2021-12-30
OKAS,1752,2021-12-30
OMRE,1753,2021-12-30
OPMS,558,2021-12-30
PADI,1752,2021-12-30
PALM,1753,2021-12-30
PAMG,614,2021-12-30
PANI,822,2021-12-30
PANR,1753,2021-12-30
PANS,1752,2021-12-30
PBID,1021,2021-12-30
PBRX,1753,2021-12-30
PBSA,1327,2021-12-30
PCAR,1008,2021-12-30
PDES,1753,2021-12-30
PEGE,1752,2021-12-30
PEHA,750,2021-12-30
PGAS,1752,2021-12-30
PGJO,477,2021-12-30
PGLI,1752,2021-12-30
PGUN,364,2021-12-30
PICO,1753,2021-12-30
PJAA,1753,2021-12-30
PKPK,1753,2021-12-30
PLAN,318,2021-12-30
PLIN,1753,2021-12-30
PMJS,496,2021-12-30
PNBN,1753,2021-12-30
PNBS,1752,2021-12-30
PNGO,329,2021-12-30
PNIN,1752,2021-12-30
PNLF,1753,2021-12-30
PNSE,1753,2021-12-30
POLA,778,2021-12-30
POLI,739,2021-12-30
