model,cap,months,market_active_annualized_mean,market_ci_lower,market_ci_median,market_ci_upper,market_positive_probability,control_active_annualized_mean,control_ci_lower,control_ci_median,control_ci_upper,control_positive_probability,samples,block_length
cap500_raw_ridge,500,30,-0.4151320197958488,-0.8128959082730208,-0.4230113292707139,-0.006408097706702182,0.0238,-0.6054502240865793,-1.0806102817310057,-0.6041855694919345,-0.1327982261200417,0.0056,5000,3
cap500_raw_lightgbm,500,30,0.7083306475427754,-0.10388169317884419,0.6990322952903715,1.5172997007161835,0.9562,0.5180124432520452,-0.3641498941228662,0.5055249360958218,1.3794392611278061,0.871,5000,3
cap500_rank_ridge,500,30,0.7368725369551051,0.08340849772056691,0.7024482126367683,1.5708614175697946,0.9902,0.5465543326643746,-0.22991886398723538,0.510044324872202,1.6540673130374037,0.8704,5000,3
cap500_rank_lightgbm,500,30,0.4387150307927755,0.07654329996071506,0.41863643551041385,0.8961408324866167,0.9944,0.24839682650204503,-0.2591067758754709,0.23378472660312621,0.8887394624978541,0.797,5000,3
cap500_raw_ensemble,500,30,0.16100193904959684,-0.49699536230474795,0.15566377632361933,0.7891592692801155,0.6798,-0.029316265241133597,-0.8976582894681971,-0.030673017993821904,0.8451585473752072,0.4728,5000,3
cap500_rank_ensemble,500,30,0.6383794180168713,0.14256988626278114,0.6156662110974694,1.3780584805700955,0.9994,0.4480612137261407,-0.19926631529297756,0.3823482152672033,1.4157130349818852,0.8628,5000,3
cap500_rank_ensemble_volmanaged,500,30,0.5138652165810504,0.04184580331051353,0.4931799832389553,1.2626103390240833,0.9908,0.3235470122903197,-0.3360954975632261,0.26116180058473587,1.3621605299331296,0.7244,5000,3
capall_raw_ridge,all,30,0.7025401643376235,-0.12359622825073119,0.6748531535761289,1.6694280851474372,0.9438,-0.027766682089751263,-1.3416960118117003,-0.02476081934869149,1.2231497727258254,0.4832,5000,3
capall_raw_lightgbm,all,30,1.8523155564879243,0.5491146222928798,1.8057272991652091,3.6950463827941906,0.9996,1.1220087100605498,-0.6012294144061239,1.0890559037441678,3.0859845531456904,0.8948,5000,3
capall_rank_ridge,all,30,0.7414948680165708,0.152847185747364,0.7392167380287127,1.3908108262407297,0.9934,0.011188021589196063,-0.7722401042859619,0.004878012185267617,0.7530031905026612,0.5044,5000,3
capall_rank_lightgbm,all,30,0.3999609345450096,0.08806768563521099,0.3901047347749069,0.7747585115838306,0.9962,-0.33034591188236506,-1.2420830010504855,-0.31458265296163723,0.5562465132787393,0.243,5000,3
capall_raw_ensemble,all,30,0.8332813949426521,-0.2745220186373666,0.7728603106736316,2.429290858125791,0.8944,0.10297454851527715,-1.3064681535963532,0.0759659211677729,1.6704903956090555,0.542,5000,3
capall_rank_ensemble,all,30,0.376018505623433,-0.19941465623617938,0.36797980275958586,0.9950698961881449,0.8992,-0.3542883408039419,-1.3539258575308828,-0.3841559923625491,0.7484936047707015,0.2422,5000,3
capall_rank_ensemble_volmanaged,all,30,0.37220286376941747,-0.1821943195566292,0.35703805717159753,0.9993391137809929,0.8958,-0.3581039826579572,-1.3535014720601566,-0.37397786627928487,0.7716364538587019,0.2526,5000,3
